TipLabel,distance_from_brown
Batis_pririt,3923.085498719192
Batis_senegalensis,4156.775431121667
Batis_soror,3923.9408561921973
Berlepschia_rikeri,3551.1498995680004
Bernieria_apperti,5271.388816570248
Bernieria_cinereiceps,5230.560922090854
Bernieria_madagascariensis,6477.582122034089
Bernieria_tenebrosa,6713.7585437993985
Bernieria_zosterops,4093.9362278722133
Bias_musicus,3664.5386121995075
Biatas_nigropectus,4025.8458966325006
Bleda_canicapillus,6553.007379334874
Bleda_eximius,5734.716799816821
Bleda_notatus,6205.8174673870535
Bleda_syndactylus,6367.511916625575
Bombycilla_cedrorum,4149.158369115055
Bombycilla_garrulus,4103.5097902030675
Bombycilla_japonica,4147.295960598199
Bowdleria_punctata,3406.75581505754
Brachycope_anomala,6320.548695676817
Brachypteryx_hyperythra,5485.6075370594135
Brachypteryx_leucophrys,3137.679115134483
Brachypteryx_montana,1827.6023088349739
Brachypteryx_stellata,3445.376154149524
Bradornis_infuscatus,3073.9511888541647
Bradornis_mariquensis,3773.6359714898895
Bradornis_microrhynchus,2808.671443864192
Bradornis_pallidus,3366.424868798735
Bradypterus_accentor,1882.6478178987952
Bradypterus_alfredi,3136.1376287120906
Bradypterus_alishanensis,3725.565833962636
Bradypterus_baboecala,3152.693501192165
Bradypterus_bangwaensis,2784.0260573381083
Bradypterus_barratti,2909.159877122573
Bradypterus_carpalis,2967.360751900107
Bradypterus_castaneus,2953.546109873344
Bradypterus_caudatus,3646.4606456541683
Bradypterus_cinnamomeus,3215.439785867342
Bradypterus_davidi,3065.983008731738
Bradypterus_grandis,1928.5568982484094
Bradypterus_graueri,3597.304340641792
Bradypterus_lopezi,2484.9142653315694
Bradypterus_luteoventris,3379.3297436697244
Bradypterus_major,3608.128474306441
Bradypterus_mandelli,2690.435255918293
Bradypterus_montis,2903.1805770147253
Bradypterus_palliseri,3319.1800443877123
Bradypterus_seebohmi,2697.9691847737313
Bradypterus_sylvaticus,2494.4559357447088
Bradypterus_tacsanowskius,3616.373622828007
Bradypterus_thoracicus,3338.526507989875
Bradypterus_timorensis,3283.3729822485393
Bradypterus_victorini,3457.2321899052204
Bubalornis_albirostris,5058.47500181873
Bubalornis_niger,5338.2008893881775
Bucanetes_githagineus,3826.7908309663185
Buettikoferella_bivittata,2625.7872168715303
Buphagus_africanus,1843.0953018884454
Buphagus_erythrorhynchus,2444.7389234309703
Buthraupis_aureodorsalis,5057.144365429841
Buthraupis_eximia,6400.700788565099
Buthraupis_montana,6005.859721798676
Buthraupis_wetmorei,6502.077913321075
Cacicus_cela,4859.490533485683
Cacicus_chrysonotus,4878.551074535708
Cacicus_chrysopterus,4247.829014726793
Cacicus_haemorrhous,5052.19618510137
Cacicus_koepckeae,4319.401978419983
Cacicus_leucoramphus,4726.122423486688
Cacicus_melanicterus,4657.555373911844
Cacicus_sclateri,4660.044038795589
Cacicus_solitarius,4901.293617750452
Cacicus_uropygialis,5102.8426580408095
Calamanthus_campestris,3086.3609473517804
Calamanthus_fuliginosus,2396.777120820948
Calamospiza_melanocorys,3877.8428129693566
Calandrella_acutirostris,3713.768827491844
Calandrella_brachydactyla,3676.293063325087
Calandrella_cinerea,3723.9708007410873
Calandrella_raytal,3804.6276854123835
Calandrella_rufescens,3028.435730264543
Calandrella_somalica,3886.5578672321294
Calcarius_lapponicus,2937.957008560447
Calcarius_mccownii,3054.0768099204656
Calcarius_ornatus,3829.8072408453286
Calcarius_pictus,3638.3254857557517
Calicalicus_madagascariensis,3778.640764791827
Calicalicus_rufocarpalis,3948.0542856185316
Callacanthis_burtoni,4395.279631458712
Callaeas_cinereus,2860.071850208989
Calochaetes_coccineus,5081.473894222139
Calocitta_colliei,3441.310297748509
Calocitta_formosa,3954.050196169794
Calyptocichla_serina,5228.488446890192
Calyptomena_hosii,5081.026629413028
Calyptomena_viridis,5435.416892813938
Calyptomena_whiteheadi,5566.7314945907765
Calyptophilus_frugivorus,3965.8181410223538
Calyptophilus_tertius,3902.837402415283
Calyptura_cristata,6652.914163293475
Camarhynchus_heliobates,3492.9984490198863
Camarhynchus_pallidus,2689.3458377406823
Camarhynchus_parvulus,2770.3186814747874
Camarhynchus_pauper,2678.6674905498344
Camarhynchus_psittacula,3274.4102964364415
Camaroptera_brachyura,3721.042487802884
Camaroptera_chloronota,1480.3295605417356
Camaroptera_fasciolata,2551.8462003272944
Camaroptera_simplex,1326.0827213651735
Camaroptera_superciliaris,4561.625843328494
Camaroptera_undosa,1838.0752290427372
Campephaga_flava,2750.2679105492016
Campephaga_lobata,5103.433045996364
Campephaga_oriolina,5661.188963555856
Campephaga_petiti,4302.37240211936
Campephaga_phoenicea,3391.277394693129
Campephaga_quiscalina,6100.016952142243
Campochaera_sloetii,5304.920690007922
Camptostoma_imberbe,3876.1417412438195
Camptostoma_obsoletum,3298.510807618108
Campylorhamphus_falcularius,2421.8981843084593
Campylorhamphus_procurvoides,2410.9954567834097
Campylorhamphus_pucherani,2972.120234393003
Campylorhamphus_pusillus,3077.7983625627353
Campylorhamphus_trochilirostris,2246.5497142611634
Campylorhynchus_albobrunneus,3768.307050797901
Campylorhynchus_brunneicapillus,4011.8062051469165
