COMMON_NAME,SCIENTIFIC_NAME,IUCN_category,TipLabel
Black-winged Bishop,Euplectes hordeaceus,LC,Euplectes_hordeaceus
Zanzibar Red Bishop,Euplectes nigroventris,LC,Euplectes_nigroventris
Southern Red Bishop,Euplectes orix,LC,Euplectes_orix
Yellow Bishop,Euplectes capensis,LC,Euplectes_capensis
Yellow-mantled Widowbird,Euplectes macroura,LC,Euplectes_macroura
Fan-tailed Widowbird,Euplectes axillaris,LC,Euplectes_axillaris
White-winged Widowbird,Euplectes albonotatus,LC,Euplectes_albonotatus
Marsh Widowbird,Euplectes hartlaubi,LC,Euplectes_hartlaubi
Jackson's Widowbird,Euplectes jacksoni,NT,Euplectes_jacksoni
Long-tailed Widowbird,Euplectes progne,LC,Euplectes_progne
Red Fody,Foudia madagascariensis,LC,Foudia_madagascariensis
Red-headed Fody,Foudia eminentissima,LC,Foudia_eminentissima
Forest Fody,Foudia omissa,LC,Foudia_omissa
Mauritius Fody,Foudia rubra,EN,Foudia_rubra
Seychelles Fody,Foudia sechellarum,NT,Foudia_sechellarum
Rodrigues Fody,Foudia flavicans,NT,Foudia_flavicans
Bob-tailed Weaver,Brachycope anomala,LC,Brachycope_anomala
Baglafecht Weaver,Ploceus baglafecht,LC,Ploceus_baglafecht
Bannerman's Weaver,Ploceus bannermani,VU,Ploceus_bannermani
Bates's Weaver,Ploceus batesi,EN,Ploceus_batesi
Black-chinned Weaver,Ploceus nigrimentus,LC,Ploceus_nigrimentus
Bertram's Weaver,Ploceus bertrandi,LC,Ploceus_bertrandi
Slender-billed Weaver,Ploceus pelzelni,LC,Ploceus_pelzelni
Loango Weaver,Ploceus subpersonatus,VU,Ploceus_subpersonatus
Little Weaver,Ploceus luteolus,LC,Ploceus_luteolus
Spectacled Weaver,Ploceus ocularis,LC,Ploceus_ocularis
Black-necked Weaver,Ploceus nigricollis,LC,Ploceus_nigricollis
Strange Weaver,Ploceus alienus,LC,Ploceus_alienus
Black-billed Weaver,Ploceus melanogaster,LC,Ploceus_melanogaster
Cape Weaver,Ploceus capensis,LC,Ploceus_capensis
Bocage's Weaver,Ploceus temporalis,LC,Ploceus_temporalis
African Golden Weaver,Ploceus subaureus,LC,Ploceus_subaureus
Holub's Golden Weaver,Ploceus xanthops,LC,Ploceus_xanthops
Orange Weaver,Ploceus aurantius,LC,Ploceus_aurantius
Heuglin's Masked Weaver,Ploceus heuglini,LC,Ploceus_heuglini
Golden Palm Weaver,Ploceus bojeri,LC,Ploceus_bojeri
Taveta Golden Weaver,Ploceus castaneiceps,LC,Ploceus_castaneiceps
Principe Golden Weaver,Ploceus princeps,LC,Ploceus_princeps
Northern Brown-throated Weaver,Ploceus castanops,LC,Ploceus_castanops
Southern Brown-throated Weaver,Ploceus xanthopterus,LC,Ploceus_xanthopterus
Kilombero Weaver,Ploceus burnieri,VU,Ploceus_burnieri
Rüppell's Weaver,Ploceus galbula,LC,Ploceus_galbula
Northern Masked Weaver,Ploceus taeniopterus,LC,Ploceus_taeniopterus
Lesser Masked Weaver,Ploceus intermedius,LC,Ploceus_intermedius
Southern Masked Weaver,Ploceus velatus,LC,Ploceus_velatus
Katanga Masked Weaver,Ploceus katangae,LC,Ploceus_katangae
Lufira Masked Weaver,Ploceus ruweti,DD,Ploceus_ruweti
Tanzanian Masked Weaver,Ploceus reichardi,LC,Ploceus_reichardi
Vitelline Masked Weaver,Ploceus vitellinus,LC,Ploceus_vitellinus
Speke's Weaver,Ploceus spekei,LC,Ploceus_spekei
Fox's Weaver,Ploceus spekeoides,NT,Ploceus_spekeoides
Village Weaver,Ploceus cucullatus,LC,Ploceus_cucullatus
Giant Weaver,Ploceus grandis,NT,Ploceus_grandis
Vieillot's Black Weaver,Ploceus nigerrimus,LC,Ploceus_nigerrimus
Weyns's Weaver,Ploceus weynsi,LC,Ploceus_weynsi
Clarke's Weaver,Ploceus golandi,EN,Ploceus_golandi
Juba Weaver,Ploceus dichrocephalus,LC,Ploceus_dichrocephalus
Black-headed Weaver,Ploceus melanocephalus,LC,Ploceus_melanocephalus
Golden-backed Weaver,Ploceus jacksoni,LC,Ploceus_jacksoni
Cinnamon Weaver,Ploceus badius,LC,Ploceus_badius
Chestnut Weaver,Ploceus rubiginosus,LC,Ploceus_rubiginosus
Golden-naped Weaver,Ploceus aureonucha,EN,Ploceus_aureonucha
